sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ПОЛОГИ,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,618,98,47.476667,36.258611,47.1536589,37.5740898
станція ПРАВДА,станція БАТЬОВО (ЕКСП. МАВ),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),591,145,48.517983,34.658394,48.3616037,22.3862198
станція ПРАВДА,станція САРТАНА,БРИКЕТЫ ЖЕЛЕЗНОЙ РУДЫ,1865,87,48.517983,34.658394,47.1536589,37.5740898
станція РЕНІ-НАЛИВНА,станція РЕНІ (ЕКСП. ЧФР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),399,1,45.43802,28.3011181,45.457968,28.265869
станція РОКУВАТА,станція ІЗОВ (ЕКСП. ПКП),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",638,255,48.04391,33.478736,50.828474,24.059367
станція РОКУВАТА,станція КРИВИЙ РІГ,РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),288,14,48.04391,33.478736,47.880874,33.384342
станція РОКУВАТА,станція МОСТИСЬКА II (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),627,267,48.04391,33.478736,49.8166178,23.0325224
станція РЯДОВА,станція БЕРЕГОВА  (ЕКСП.),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),500,535,48.229267,33.534595,46.632276,31.044189
станція РЯДОВА,станція БЕРЕГОВА  (ЕКСП.),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,994,133,48.229267,33.534595,46.632276,31.044189
станція РЯДОВА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4217,135,48.229267,33.534595,47.20838,37.5633199
станція РЯДОВА,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,3024,136,48.229267,33.534595,47.1536589,37.5740898
станція РЯДОВА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,436,527,48.229267,33.534595,46.82775,30.76
станція ТЕРНИ,станція БЕРЕГОВА  (ЕКСП.),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),388,541,48.178684,33.534576,46.632276,31.044189
станція ТЕРНИ,станція ІЗОВ (ЕКСП. ПКП),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),296,332,48.178684,33.534576,50.828474,24.059367
станція ТЕРНИ,станція ІЗОВ (ЕКСП. ПКП),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,227,142,48.178684,33.534576,50.828474,24.059367
станція ТЕРНИ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,639,136,48.178684,33.534576,47.20838,37.5633199
станція ТЕРНИ,станція МОСТИСЬКА II (ЕКСП. ПКП),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,878,130,48.178684,33.534576,49.8166178,23.0325224
станція ТЕРНИ,станція УЖГОРОД (ЕКСП. ЖСР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1268,158,48.178684,33.534576,48.6094982,22.3006874
станція ЧАПЛИНЕ,станція АСЛАНОВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),340,91,48.12727,36.2336901,47.245581,37.581294
станція ЧАПЛИНЕ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4448,69,48.12727,36.2336901,47.20838,37.5633199
станція ЧАПЛИНЕ,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4743,95,48.12727,36.2336901,47.1536589,37.5740898
станція ШМАКОВЕ,станція ІЗМАЇЛ  (ЕКСП.),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),916,149,47.959365,33.403575,45.3600096,28.812532
станція ШМАКОВЕ,станція НІКОПОЛЬ,РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,428,42,47.959365,33.403575,47.5853703,34.3913662
станція ШМАКОВЕ,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),2326,253,47.959365,33.403575,48.432477,22.2055633
станція ШМАКОВЕ,станція ЧОП (ЕКСП. ЧД),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",317,316,47.959365,33.403575,48.432477,22.2055633
